subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,20.0,-10.0,14.059053897857666
human,no_score,expt_preconditions,0,46.0,-3.0,19.72458291053772
human,no_score,expt_preconditions,0,9.0,-9.0,19.754087924957275
human,no_score,expt_preconditions,1,21.0,27.0,51.948591947555542
human,no_score,expt_preconditions,1,27.0,9.0,52.171910047531128
human,no_score,expt_preconditions,0,12.0,-10.0,50.798057079315186
human,no_score,expt_preconditions,0,14.0,-8.0,22.845550060272217
