subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,1,12.0,2.0,4.2146940231323242
human,no_score,expt_preconditions,1,9.0,2.0,2.6356301307678223
human,no_score,expt_preconditions,2,40.0,4.0,35.700976133346558
human,no_score,expt_preconditions,1,9.0,2.0,2.6305749416351318
human,no_score,expt_preconditions,2,38.0,4.0,9.0808811187744141
human,no_score,expt_preconditions,1,9.0,2.0,2.5821259021759033
human,no_score,expt_preconditions,2,42.0,4.0,10.117241144180298
