subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,68.0,12.0,16.605346202850342
human,no_score,expt_preconditions,0,98.0,18.0,25.561320066452026
human,no_score,expt_preconditions,0,70.0,12.0,69.650876045227051
human,no_score,expt_preconditions,1,79.0,15.0,22.294302940368652
human,no_score,expt_preconditions,1,72.0,14.0,22.715334892272949
human,no_score,expt_preconditions,1,92.0,18.0,20.960515975952148
human,no_score,expt_preconditions,2,118.0,21.0,31.583268165588379
human,no_score,expt_preconditions,1,82.0,17.0,17.837337017059326
human,no_score,expt_preconditions,1,80.0,13.0,19.487400054931641
