subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,44.0,-11.0,10.41938591003418
human,no_score,expt_preconditions,1,0.0,1.0,68.821901082992554
human,no_score,expt_preconditions,2,0.0,1.0,60.450651884078979
human,no_score,expt_preconditions,3,0.0,1.0,53.637664079666138
human,no_score,expt_preconditions,4,0.0,1.0,53.877089023590088
human,no_score,expt_preconditions,5,0.0,1.0,61.899029970169067
human,no_score,expt_preconditions,0,87.0,187.0,18.050211191177368
human,no_score,expt_preconditions,1,0.0,1.0,60.515213966369629
