subject,condition,gameName,levels_won,steps,score,time
human,no_score,expt_preconditions,0,0.0,-1.0,0.05299997329711914
human,no_score,expt_preconditions,0,0.0,-1.0,0.051000118255615234
human,no_score,expt_preconditions,0,0.0,-1.0,0.05200004577636719
human,no_score,expt_preconditions,1,0.0,-1.0,0.05300021171569824
human,no_score,expt_preconditions,1,0.0,-1.0,0.05200004577636719
human,no_score,expt_preconditions,1,0.0,-1.0,0.05200004577636719
human,no_score,expt_preconditions,2,0.0,-1.0,0.05200004577636719
human,no_score,expt_preconditions,2,0.0,-1.0,0.05200004577636719
human,no_score,expt_preconditions,0,0.0,-1.0,0.0559999942779541
