subject,condition,gameName,levels_won,steps,planner_steps,score
full,normal,expt_helper,1,12,6,0
full,normal,expt_helper,1,24,13,0
full,normal,expt_helper,1,12,6,0
full,normal,expt_helper,1,24,13,0
full,normal,expt_helper,1,14,8,0
full,normal,expt_helper,1,24,13,0
full,normal,expt_helper,1,12,6,0
full,normal,expt_helper,1,24,13,0
full,normal,expt_helper,1,14,8,0
