game name,level number,steps,win,score
portals,0,97,False,0
portals,0,121,False,0
portals,0,125,False,0
portals,0,245,False,0
portals,0,206,False,0
portals,0,29,False,0
portals,0,43,False,0
portals,0,114,False,0
portals,0,270,False,0
portals,0,155,False,0
portals,0,89,False,0
portals,0,70,False,0
portals,0,108,False,0
portals,0,130,False,0
portals,0,150,False,0
portals,0,43,False,0
portals,0,203,False,0
portals,0,401,False,0
portals,0,104,False,0
portals,0,260,False,0
portals,0,62,False,0
portals,0,43,False,0
portals,0,128,False,0
portals,0,254,False,0
portals,0,401,False,0
portals,0,57,False,0
portals,0,97,False,0
portals,0,25,False,0
portals,0,53,False,0
portals,0,401,False,0
portals,0,43,False,0
portals,0,62,False,0
portals,0,114,False,0
portals,0,193,False,0
portals,0,397,False,0
portals,0,56,False,0
portals,0,132,False,0
portals,0,401,False,0
portals,0,213,False,0
portals,0,107,False,0
portals,0,401,False,0
portals,0,126,False,0
portals,0,25,False,0
portals,0,255,False,0
portals,0,19,False,0
portals,0,322,False,0
portals,0,254,False,0
portals,0,257,False,0
portals,0,144,False,0
portals,0,26,False,0
portals,0,185,False,0
portals,0,30,False,0
portals,0,185,False,0
portals,0,43,False,0
portals,0,11,False,0
portals,0,30,False,0
portals,0,107,False,0
portals,0,51,False,0
portals,0,119,False,0
portals,0,357,False,0
portals,0,401,False,0
portals,0,95,False,0
portals,0,100,False,0
portals,0,11,False,0
portals,0,75,False,0
portals,0,185,False,0
portals,0,11,False,0
portals,0,185,False,0
portals,0,11,False,0
portals,0,135,False,0
portals,0,93,False,0
portals,0,257,False,0
portals,0,195,False,0
portals,0,146,False,0
portals,0,39,False,0
portals,0,401,False,0
portals,0,237,False,0
portals,0,125,False,0
portals,0,20,False,0
portals,0,43,False,0
portals,0,133,False,0
portals,0,11,False,0
portals,0,57,False,0
portals,0,93,False,0
portals,0,11,False,0
portals,0,133,False,0
portals,0,249,False,0
portals,0,269,False,0
portals,0,54,False,0
portals,0,177,False,0
portals,0,55,False,0
portals,0,26,False,0
portals,0,299,False,0
portals,0,43,False,0
portals,0,11,False,0
portals,0,11,False,0
portals,0,254,False,0
portals,0,31,False,0
portals,0,91,False,0
portals,0,157,False,0
portals,0,266,False,0
portals,0,117,False,0
portals,0,315,False,0
portals,0,107,False,0
portals,0,213,False,0
portals,0,57,False,0
portals,0,43,False,0
portals,0,50,False,0
portals,0,55,False,0
portals,0,87,False,0
portals,0,51,False,0
portals,0,54,False,0
portals,0,57,False,0
portals,0,52,False,0
portals,0,128,False,0
portals,0,19,False,0
portals,0,11,False,0
portals,0,205,False,0
portals,0,215,False,0
portals,0,171,False,0
portals,0,304,False,0
portals,0,61,False,0
portals,0,138,False,0
portals,0,11,False,0
portals,0,45,False,0
portals,0,11,False,0
portals,0,114,False,0
portals,0,43,False,0
portals,0,57,False,0
portals,0,11,False,0
portals,0,126,False,0
portals,0,193,False,0
portals,0,66,False,0
portals,0,63,False,0
portals,0,83,False,0
portals,0,44,False,0
portals,0,84,False,0
portals,0,215,False,0
portals,0,401,False,0
portals,0,130,False,0
portals,0,164,False,0
portals,0,198,False,0
portals,0,130,False,0
portals,0,235,False,0
portals,0,50,False,0
portals,0,266,False,0
portals,0,114,False,0
portals,0,43,False,0
portals,0,57,False,0
portals,0,211,False,0
portals,0,11,False,0
portals,0,118,False,0
portals,0,130,False,0
portals,0,23,False,0
portals,0,181,False,0
portals,0,194,False,0
portals,0,139,False,0
portals,0,25,False,0
portals,0,45,False,0
portals,0,391,False,0
portals,0,198,False,0
portals,0,401,False,0
portals,0,43,False,0
portals,0,105,False,0
portals,0,23,False,0
portals,0,231,False,0
portals,0,24,False,0
portals,0,43,False,0
portals,0,118,False,0
portals,0,66,False,0
portals,0,109,False,0
portals,0,229,False,0
portals,0,40,False,0
portals,0,193,False,0
portals,0,62,False,0
portals,0,28,False,0
portals,0,153,False,0
portals,0,11,False,0
portals,0,198,False,0
portals,0,235,False,0
portals,0,131,False,0
portals,0,70,False,0
portals,0,62,False,0
portals,0,134,False,0
portals,0,11,False,0
portals,0,89,False,0
portals,0,117,False,0
portals,0,203,False,0
portals,0,31,False,0
portals,0,75,False,0
portals,0,74,False,0
portals,0,249,False,0
portals,0,70,False,0
portals,0,185,False,0
portals,0,125,False,0
portals,0,249,False,0
portals,0,23,False,0
portals,0,31,False,0
portals,0,122,False,0
portals,0,261,False,0
portals,0,269,False,0
portals,0,198,False,0
portals,0,122,False,0
portals,0,145,False,0
portals,0,309,False,0
portals,0,241,False,0
portals,0,401,False,0
portals,0,107,False,0
portals,0,338,False,0
portals,0,64,False,0
portals,0,189,False,0
portals,0,106,False,0
portals,0,47,False,0
portals,0,88,False,0
portals,0,59,False,0
portals,0,63,False,0
portals,0,11,False,0
portals,0,249,False,0
portals,0,249,False,0
portals,0,11,False,0
portals,0,42,False,0
portals,0,11,False,0
portals,0,273,False,0
portals,0,314,False,0
portals,0,51,False,0
portals,0,62,False,0
portals,0,119,False,0
portals,0,247,False,0
portals,0,11,False,0
portals,0,90,False,0
portals,0,25,False,0
portals,0,161,False,0
portals,0,124,False,0
portals,0,11,False,0
portals,0,321,False,0
portals,0,43,False,0
portals,0,401,False,0
portals,0,63,False,0
portals,0,153,False,0
portals,0,202,False,0
portals,0,126,False,0
portals,0,54,False,0
portals,0,96,False,0
portals,0,23,False,0
portals,0,41,False,0
portals,0,187,False,0
portals,0,114,False,0
portals,0,151,False,0
portals,0,43,False,0
portals,0,75,False,0
portals,0,11,False,0
portals,0,266,False,0
portals,0,168,False,0
portals,0,25,False,0
portals,0,130,False,0
portals,0,11,False,0
portals,0,69,False,0
portals,0,185,False,0
portals,0,270,False,0
portals,0,43,False,0
portals,0,46,False,0
portals,0,132,False,0
portals,0,401,False,0
portals,0,47,False,0
portals,0,201,False,0
portals,0,120,False,0
portals,0,43,False,0
portals,0,11,False,0
portals,0,41,False,0
portals,0,198,False,0
portals,0,23,False,0
portals,0,72,False,0
portals,0,26,False,0
portals,0,401,False,0
portals,0,126,False,0
portals,0,11,False,0
